elsoura,meaning,elgoz2,text,elsoura2
,بذكر اسم الله أبدأ مستعينا به,,بسم الله,
,الذي وسعت رحمته جميع خلقه,,الرحمن,
,الذي تدوم رحمته على جميع المؤمنين به,,الرحيم,
سورة الفاتحة,الثناء بالجميل على الله الجليل,الجزء الاول,الحمد لله,سورة الفاتحة
سورة الفاتحة,مالك ومدبر,الجزء الاول,رب ,سورة الفاتحة
سورة الفاتحة,جميع العوالم,الجزء الاول,العلمين,سورة الفاتحة
سورة الفاتحة,ذي الرحمة الشاملة لجميع الخلق,الجزء الاول,الرحمن,سورة الفاتحة
سورة الفاتحة,ذي الرحمة الدائمة بالمؤمنين,الجزء الاول,الرحيم,سورة الفاتحة
سورة الفاتحة,مالك يوم الجزاء وهو يوم القيامة,الجزء الاول,ملك يوم الدين,سورة الفاتحة
سورة الفاتحة,أنت من نخضع له ونتذلل ونطيع ونعظم,الجزء الاول,إياك نعبد,سورة الفاتحة
سورة الفاتحة,وأنت من نطلب عونه,الجزء الاول,وإياك نستعين,سورة الفاتحة
سورة الفاتحة,وفقنا ودلنا وألهمنا,الجزء الاول,اهدنا ,سورة الفاتحة
سورة الفاتحة,الطريق,الجزء الاول,الصراط,سورة الفاتحة
سورة الفاتحة,القويم الذي لا اعوجاج فيه,الجزء الاول,المستقيم,سورة الفاتحة
سورة الفاتحة,طريق,الجزء الاول,صراط,سورة الفاتحة
سورة الفاتحة,الذين أسبغت عليهم نعمتك وهم النبيؤون والصديقون والشهداء والصالحون,الجزء الاول,الذين أنعمت عليهم,سورة الفاتحة
سورة الفاتحة,غير المسخوط عليهم وهم اليهود ومن تشبه بهم,الجزء الاول,غير المغضوب عليهم,سورة الفاتحة
سورة الفاتحة,ولا الزائغين وهم النصارى ومن تشبه بهم,الجزء الاول,ولا الضالين,سورة الفاتحة
,بذكر اسم الله أبدأ مستعينا به,,بسم الله,
,الذي وسعت رحمته جميع خلقه,,الرحمن,
,الذي تدوم رحمته على جميع المؤمنين به,,الرحيم,
سورة البقرة,الله أعلم بمراده بذلك,الجزء الاول,الم,سورة البقرة
